2017-08-08,GAME1,ps4,"2,493,693","24,576","1,496,309","981,488"
2017-08-08,GAME1,xbox_one,"1,035,334","12,058","611,173","424,343"
2017-08-08,GAME2,ps4,"639,914","11,362","367,678","261,912"
2017-08-08,GAME2,xbox_one,"461,991","8,703","245,991","212,555"
2017-08-07,GAME1,ps4,"2,477,797","24,978","1,430,084","1,136,555"
2017-08-07,GAME1,xbox_one,"1,035,516","12,627","584,605","490,055"
2017-08-07,GAME2,ps4,"629,590","11,500","362,722","321,143"
2017-08-07,GAME2,xbox_one,"458,546","9,009","239,669","250,027"
2017-08-06,GAME1,ps4,"2,566,639","28,430","1,496,061","1,063,617"
2017-08-06,GAME1,xbox_one,"1,074,660","14,322","614,110","461,276"
2017-08-06,GAME2,ps4,"683,865","13,563","385,117","275,406"
2017-08-06,GAME2,xbox_one,"489,696","10,649","252,147","217,789"
2017-08-05,GAME1,ps4,"2,559,678","31,341","1,468,551","1,071,286"
2017-08-05,GAME1,xbox_one,"1,075,386","15,633","607,397","471,819"
2017-08-05,GAME2,ps4,"660,523","15,316","360,319","284,884"
2017-08-05,GAME2,xbox_one,"469,936","10,951","232,886","223,155"
